epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,321.749,0.79123,0.74102,1.16421,0.85297,0.68541,0.77748,0.56021,1.04395,0.95583,1.39642,0.00139635,0.00139635,0.00139635
43,330.978,0.79987,0.74587,1.16381,0.80353,0.7436,0.759,0.55787,0.99387,0.94749,1.36527,0.00138974,0.00138974,0.00138974
44,336.904,0.7838,0.72643,1.15479,0.82057,0.76112,0.7906,0.58226,0.99647,0.90377,1.32951,0.00138314,0.00138314,0.00138314
45,345.344,0.77915,0.73847,1.13306,0.79573,0.74657,0.79683,0.57514,1.03567,1.00953,1.3924,0.00137654,0.00137654,0.00137654
46,352.944,0.78382,0.72919,1.14944,0.88742,0.69136,0.79673,0.56993,1.06603,0.95319,1.46517,0.00136994,0.00136994,0.00136994
47,358.911,0.80327,0.70801,1.17726,0.85642,0.71729,0.80219,0.57456,1.03407,0.93111,1.3679,0.00136334,0.00136334,0.00136334
48,368.109,0.81659,0.71748,1.15657,0.83442,0.76661,0.79959,0.55103,1.06677,0.93092,1.37783,0.00135674,0.00135674,0.00135674
49,374.106,0.77436,0.6794,1.14228,0.81548,0.77796,0.79652,0.56387,1.05375,0.91268,1.38206,0.00135014,0.00135014,0.00135014
50,381.027,0.76295,0.69487,1.14207,0.85809,0.77826,0.80963,0.57568,1.04169,0.83946,1.37632,0.00134354,0.00134354,0.00134354
51,389.532,0.78638,0.69747,1.16198,0.87753,0.73446,0.80559,0.57159,1.04717,0.8158,1.40433,0.00133693,0.00133693,0.00133693
52,395.53,0.73393,0.68817,1.12809,0.85574,0.76699,0.82034,0.56688,1.07562,0.84963,1.38529,0.00133033,0.00133033,0.00133033
53,404.2,0.77396,0.70833,1.13262,0.86829,0.78305,0.8325,0.58532,1.03246,0.86895,1.411,0.00132373,0.00132373,0.00132373
54,410.903,0.73238,0.66197,1.12717,0.85349,0.76075,0.82494,0.57625,1.03016,0.84,1.35132,0.00131713,0.00131713,0.00131713
55,416.726,0.7368,0.67893,1.09441,0.87122,0.74654,0.81746,0.59049,0.98934,0.82599,1.33163,0.00131053,0.00131053,0.00131053
56,426.771,0.71334,0.64144,1.12623,0.86251,0.7548,0.82877,0.58913,1.03995,0.80871,1.3864,0.00130393,0.00130393,0.00130393
57,432.797,0.73066,0.64638,1.12035,0.85886,0.70709,0.80223,0.55456,1.06723,0.87609,1.40782,0.00129733,0.00129733,0.00129733
58,439.876,0.75192,0.65852,1.11454,0.88267,0.71392,0.80931,0.57031,1.02854,0.90644,1.37416,0.00129072,0.00129072,0.00129072
59,447.79,0.73107,0.64482,1.11583,0.86171,0.74368,0.81543,0.60792,0.94985,0.84331,1.30766,0.00128412,0.00128412,0.00128412
60,453.87,0.77339,0.67805,1.16078,0.83793,0.74001,0.80293,0.57373,1.02355,0.90467,1.34825,0.00127752,0.00127752,0.00127752
61,463.391,0.71936,0.65511,1.11306,0.82588,0.75219,0.80699,0.56954,1.04785,0.90228,1.37766,0.00127092,0.00127092,0.00127092
62,469.807,0.73897,0.65956,1.1114,0.84919,0.75773,0.8013,0.54287,1.11341,0.96411,1.44607,0.00126432,0.00126432,0.00126432
63,476.018,0.72121,0.64417,1.10179,0.90125,0.73342,0.82989,0.59203,1.01305,0.82445,1.38729,0.00125772,0.00125772,0.00125772
64,485.578,0.69126,0.63003,1.0875,0.84155,0.75027,0.81718,0.58753,1.00628,0.86891,1.37236,0.00125112,0.00125112,0.00125112
65,491.684,0.69637,0.66756,1.12108,0.83199,0.73946,0.79713,0.54987,1.04621,0.94397,1.4524,0.00124452,0.00124452,0.00124452
66,498.795,0.76514,0.67908,1.15997,0.86663,0.69843,0.77889,0.54817,1.05043,0.97336,1.47836,0.00123791,0.00123791,0.00123791
67,507.357,0.71851,0.67024,1.11881,0.86951,0.7701,0.83345,0.60582,0.99306,0.87842,1.40841,0.00123131,0.00123131,0.00123131
68,513.166,0.71126,0.63645,1.0969,0.84984,0.75036,0.8253,0.58765,1.03581,0.92065,1.40973,0.00122471,0.00122471,0.00122471
69,522.274,0.70902,0.63202,1.10223,0.80564,0.73458,0.77547,0.54964,1.02207,0.93916,1.38452,0.00121811,0.00121811,0.00121811
70,529.002,0.71309,0.65307,1.11535,0.84225,0.7322,0.78959,0.55262,1.07971,1.01613,1.41411,0.00121151,0.00121151,0.00121151
71,534.994,0.72197,0.63751,1.11198,0.8499,0.72939,0.79429,0.54846,1.08653,0.97142,1.41745,0.00120491,0.00120491,0.00120491
72,544.5,0.69817,0.60702,1.0969,0.90432,0.74733,0.82669,0.59171,1.00675,0.84729,1.32587,0.00119831,0.00119831,0.00119831
73,550.443,0.71615,0.63003,1.11151,0.84321,0.75107,0.80408,0.59166,0.97363,0.86807,1.32895,0.0011917,0.0011917,0.0011917
74,558.29,0.70054,0.62177,1.08855,0.87722,0.75014,0.81781,0.58503,1.012,0.87565,1.37471,0.0011851,0.0011851,0.0011851
75,566.222,0.70752,0.62163,1.10994,0.87575,0.73463,0.82406,0.57808,1.00647,0.8488,1.35311,0.0011785,0.0011785,0.0011785
76,572.238,0.7375,0.61384,1.12522,0.86155,0.72335,0.80256,0.55293,1.05457,0.89524,1.39444,0.0011719,0.0011719,0.0011719
77,581.459,0.689,0.60169,1.07988,0.81638,0.73756,0.77204,0.53885,1.03599,0.91172,1.40834,0.0011653,0.0011653,0.0011653
78,587.607,0.70558,0.63807,1.11606,0.83725,0.74351,0.80252,0.55523,1.08896,0.89463,1.47645,0.0011587,0.0011587,0.0011587
79,594.379,0.69331,0.61766,1.09851,0.88462,0.73019,0.82312,0.58778,1.04049,0.84805,1.39418,0.0011521,0.0011521,0.0011521
80,602.968,0.6685,0.6045,1.08172,0.88449,0.74582,0.82205,0.60488,1.01547,0.83205,1.35161,0.0011455,0.0011455,0.0011455
81,608.931,0.67355,0.58656,1.09225,0.87891,0.73463,0.83591,0.59013,1.01244,0.84196,1.37157,0.00113889,0.00113889,0.00113889
82,617.391,0.68157,0.58688,1.07485,0.84462,0.73232,0.80966,0.59173,0.99505,0.84426,1.34246,0.00113229,0.00113229,0.00113229
83,624.071,0.64547,0.55737,1.06097,0.87645,0.76439,0.83459,0.61187,0.93793,0.78169,1.30807,0.00112569,0.00112569,0.00112569
84,630.642,0.67951,0.56562,1.09193,0.85714,0.73836,0.81536,0.58248,0.98292,0.84088,1.3354,0.00111909,0.00111909,0.00111909
85,639.709,0.67191,0.57453,1.07677,0.89791,0.74722,0.81216,0.59601,0.98187,0.84474,1.32486,0.00111249,0.00111249,0.00111249
86,645.846,0.65103,0.5703,1.05918,0.88639,0.70862,0.79853,0.59372,0.98983,0.76898,1.34693,0.00110589,0.00110589,0.00110589
87,653.838,0.6184,0.53299,1.04925,0.87067,0.76903,0.8249,0.59055,1.03112,0.81689,1.40392,0.00109929,0.00109929,0.00109929
88,661.614,0.64392,0.56745,1.06259,0.86411,0.78385,0.83605,0.60942,0.98495,0.73266,1.33768,0.00109269,0.00109269,0.00109269
89,667.461,0.64584,0.55746,1.06648,0.88108,0.79194,0.83928,0.59457,0.97779,0.74755,1.3892,0.00108608,0.00108608,0.00108608
90,676.694,0.63771,0.55107,1.05302,0.90034,0.74724,0.83118,0.60439,1.01079,0.78139,1.35966,0.00107948,0.00107948,0.00107948
91,683.091,0.61988,0.55047,1.06821,0.85247,0.76821,0.82162,0.60456,0.967,0.78521,1.33844,0.00107288,0.00107288,0.00107288
92,689.417,0.6208,0.53049,1.04938,0.83804,0.75622,0.82056,0.61058,0.94012,0.77616,1.30175,0.00106628,0.00106628,0.00106628
93,698.742,0.65699,0.54934,1.07137,0.83935,0.72751,0.80088,0.59356,0.94017,0.85234,1.31459,0.00105968,0.00105968,0.00105968
94,704.858,0.60312,0.52545,1.03218,0.82348,0.7548,0.79716,0.59573,1.01763,0.9496,1.39557,0.00105308,0.00105308,0.00105308
95,712.174,0.62203,0.54436,1.04318,0.81819,0.7428,0.7801,0.56228,1.04486,0.87001,1.44651,0.00104648,0.00104648,0.00104648
96,719.931,0.63554,0.53462,1.05332,0.88514,0.70922,0.79982,0.58945,0.9308,0.81017,1.3371,0.00103987,0.00103987,0.00103987
97,725.856,0.63484,0.53918,1.0538,0.8213,0.79403,0.82865,0.59927,0.97301,0.77189,1.37065,0.00103327,0.00103327,0.00103327
98,734.807,0.62399,0.51167,1.03947,0.88223,0.73685,0.79416,0.57942,0.98257,0.81805,1.34595,0.00102667,0.00102667,0.00102667
99,741.242,0.61021,0.51911,1.04009,0.8904,0.74271,0.80721,0.60573,0.90045,0.79191,1.25178,0.00102007,0.00102007,0.00102007
100,747.266,0.63389,0.54262,1.03623,0.89918,0.73973,0.82362,0.61619,0.88255,0.78567,1.24322,0.00101347,0.00101347,0.00101347
101,756.75,0.59812,0.51448,1.04343,0.85604,0.76519,0.831,0.62929,0.88866,0.72167,1.27815,0.00100687,0.00100687,0.00100687
102,762.727,0.6189,0.52319,1.04706,0.84115,0.81646,0.82787,0.61183,0.949,0.7964,1.30496,0.00100027,0.00100027,0.00100027
103,770.338,0.61098,0.53261,1.05603,0.89459,0.72717,0.84772,0.60778,0.9322,0.76123,1.32912,0.000993665,0.000993665,0.000993665
104,778.48,0.58628,0.50935,1.03862,0.88806,0.72717,0.83541,0.61816,0.89527,0.70823,1.28935,0.000987064,0.000987064,0.000987064
105,784.476,0.59152,0.51522,1.04711,0.86929,0.74725,0.82874,0.61234,0.92442,0.72153,1.30054,0.000980463,0.000980463,0.000980463
106,793.531,0.60031,0.51919,1.03481,0.84416,0.74678,0.83008,0.59558,0.99585,0.75266,1.3771,0.000973861,0.000973861,0.000973861
107,799.877,0.62847,0.53074,1.08286,0.83086,0.76771,0.80948,0.58885,0.98566,0.78864,1.35757,0.00096726,0.00096726,0.00096726
108,806.31,0.62043,0.51858,1.03782,0.88725,0.73769,0.80751,0.61077,0.89859,0.72391,1.3052,0.000960659,0.000960659,0.000960659
109,815.624,0.59725,0.4944,1.03471,0.90599,0.72923,0.81133,0.59785,0.96804,0.76827,1.34863,0.000954057,0.000954057,0.000954057
110,821.481,0.6096,0.49597,1.04307,0.86943,0.7632,0.82071,0.60813,0.92741,0.76317,1.31124,0.000947456,0.000947456,0.000947456
111,828.756,0.58069,0.49047,1.02964,0.86986,0.74412,0.81111,0.58604,0.97924,0.8074,1.33896,0.000940855,0.000940855,0.000940855
112,836.967,0.58803,0.4913,1.0339,0.89545,0.73241,0.81414,0.59694,0.92974,0.77221,1.30426,0.000934253,0.000934253,0.000934253
113,842.831,0.59292,0.50771,1.02151,0.84469,0.77826,0.8459,0.61186,0.94685,0.72962,1.30249,0.000927652,0.000927652,0.000927652
114,852.032,0.59703,0.4812,1.02694,0.82728,0.81905,0.84699,0.61962,0.92842,0.72124,1.31358,0.000921051,0.000921051,0.000921051
115,858.433,0.59185,0.50237,1.01893,0.84422,0.79803,0.84249,0.64137,0.90902,0.73364,1.31818,0.00091445,0.00091445,0.00091445
116,864.927,0.57031,0.48232,1.00903,0.87529,0.77114,0.83275,0.63786,0.94519,0.76319,1.31885,0.000907848,0.000907848,0.000907848
117,873.317,0.56538,0.4927,1.02868,0.82462,0.79728,0.8401,0.62391,0.91557,0.72743,1.29712,0.000901247,0.000901247,0.000901247
118,879.38,0.57344,0.49121,1.01789,0.8254,0.78008,0.83233,0.6256,0.89015,0.75361,1.24988,0.000894646,0.000894646,0.000894646
119,888.789,0.5691,0.48071,0.99647,0.86367,0.72613,0.83403,0.61204,0.94249,0.74792,1.30045,0.000888044,0.000888044,0.000888044
120,895.606,0.57957,0.48774,1.03033,0.86857,0.73987,0.83619,0.61747,0.95336,0.77465,1.30961,0.000881443,0.000881443,0.000881443
121,901.79,0.58782,0.47555,1.02415,0.90317,0.75138,0.82956,0.61714,0.96523,0.75752,1.3243,0.000874842,0.000874842,0.000874842
122,911.174,0.54416,0.47783,1.0139,0.87176,0.76599,0.82983,0.604,0.95991,0.79891,1.35617,0.00086824,0.00086824,0.00086824
123,917.464,0.56525,0.47115,1.02359,0.91225,0.74662,0.83775,0.61332,0.946,0.78432,1.33154,0.000861639,0.000861639,0.000861639
124,925.447,0.56046,0.45813,1.01308,0.87799,0.7567,0.83067,0.61661,0.94898,0.75126,1.30574,0.000855038,0.000855038,0.000855038
125,933.529,0.56977,0.477,1.01652,0.84937,0.73494,0.81055,0.60178,0.93354,0.7573,1.28875,0.000848436,0.000848436,0.000848436
126,939.656,0.56679,0.4681,1.00899,0.85373,0.7658,0.81922,0.60174,0.96975,0.73263,1.30864,0.000841835,0.000841835,0.000841835
127,949.172,0.56145,0.45567,1.01299,0.89243,0.72781,0.81153,0.6065,0.95296,0.75967,1.30623,0.000835234,0.000835234,0.000835234
128,955.565,0.54872,0.45905,1.00854,0.82449,0.76146,0.8136,0.60934,0.96929,0.76645,1.31098,0.000828632,0.000828632,0.000828632
129,962.566,0.55261,0.46731,1.01423,0.84214,0.76227,0.83341,0.61751,0.95799,0.79153,1.3128,0.000822031,0.000822031,0.000822031
130,971.305,0.54648,0.47203,1.00924,0.89312,0.77797,0.8488,0.62642,0.94319,0.76553,1.30697,0.00081543,0.00081543,0.00081543
131,977.211,0.56476,0.46873,1.02718,0.85115,0.78239,0.83428,0.61811,0.9414,0.75873,1.28108,0.000808828,0.000808828,0.000808828
