epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
180,1346.86,0.46586,0.38474,0.97128,0.90709,0.75773,0.8662,0.66409,0.83981,0.68373,1.25336,0.000485364,0.000485364,0.000485364
181,1353.75,0.44415,0.36711,0.95307,0.91006,0.75391,0.85956,0.66502,0.84179,0.72001,1.24329,0.000478762,0.000478762,0.000478762
182,1362.12,0.45294,0.37156,0.95907,0.89318,0.7626,0.85104,0.64822,0.85469,0.75246,1.24444,0.000472161,0.000472161,0.000472161
183,1368.14,0.45668,0.3799,0.96069,0.8544,0.79793,0.84743,0.63729,0.888,0.74213,1.27391,0.00046556,0.00046556,0.00046556
184,1376.95,0.44446,0.36485,0.97149,0.86927,0.79374,0.85158,0.63924,0.89109,0.72139,1.28771,0.000458958,0.000458958,0.000458958
185,1384.02,0.43402,0.35674,0.94161,0.87297,0.78305,0.8476,0.63131,0.89653,0.74457,1.29194,0.000452357,0.000452357,0.000452357
186,1389.78,0.44218,0.3768,0.95182,0.83391,0.82118,0.85001,0.63299,0.87842,0.72142,1.25809,0.000445756,0.000445756,0.000445756
187,1399.55,0.4646,0.38931,0.96194,0.82092,0.81885,0.84562,0.63723,0.87109,0.70853,1.26594,0.000439154,0.000439154,0.000439154
188,1405.58,0.45478,0.37239,0.96364,0.89371,0.76403,0.85008,0.64146,0.87514,0.73226,1.25862,0.000432553,0.000432553,0.000432553
189,1412.74,0.46312,0.37102,0.97546,0.85257,0.80615,0.8525,0.64517,0.87449,0.74419,1.24725,0.000425952,0.000425952,0.000425952
190,1420.69,0.47322,0.3713,0.96737,0.8915,0.78419,0.86087,0.64712,0.86635,0.7241,1.25142,0.000419351,0.000419351,0.000419351
191,1427.16,0.4718,0.37626,0.95774,0.87549,0.782,0.85163,0.63875,0.8829,0.75028,1.2789,0.000412749,0.000412749,0.000412749
192,1436.54,0.45273,0.36951,0.95747,0.8747,0.79087,0.85099,0.6361,0.8751,0.73532,1.28294,0.000406148,0.000406148,0.000406148
193,1442.55,0.46676,0.37344,0.95967,0.86554,0.80896,0.85399,0.64014,0.9011,0.71257,1.28425,0.000399547,0.000399547,0.000399547
194,1449.73,0.45097,0.36087,0.95825,0.8834,0.76191,0.85153,0.64039,0.91222,0.71527,1.2749,0.000392945,0.000392945,0.000392945
195,1458.8,0.45725,0.35965,0.9603,0.86868,0.79575,0.85541,0.65815,0.88093,0.71731,1.25426,0.000386344,0.000386344,0.000386344
196,1464.67,0.41268,0.34647,0.93793,0.88826,0.76741,0.85086,0.64987,0.87303,0.74224,1.24395,0.000379743,0.000379743,0.000379743
197,1473.98,0.4353,0.36315,0.97019,0.88084,0.76948,0.84645,0.65491,0.85768,0.73657,1.23123,0.000373141,0.000373141,0.000373141
198,1480.71,0.44292,0.36561,0.95357,0.90213,0.75465,0.83982,0.64547,0.87667,0.73292,1.23,0.00036654,0.00036654,0.00036654
199,1487.02,0.44249,0.36418,0.95107,0.90792,0.74431,0.84864,0.65007,0.87282,0.74904,1.23105,0.000359939,0.000359939,0.000359939
200,1496.84,0.43972,0.35802,0.96477,0.82612,0.8129,0.85634,0.64117,0.87566,0.7346,1.23504,0.000353337,0.000353337,0.000353337
201,1503.16,0.42998,0.34695,0.94575,0.87148,0.78234,0.8493,0.64412,0.86021,0.70759,1.22921,0.000346736,0.000346736,0.000346736
202,1511.52,0.44733,0.36213,0.96316,0.92904,0.75754,0.85634,0.6529,0.83293,0.6776,1.2266,0.000340135,0.000340135,0.000340135
203,1518.62,0.43554,0.34863,0.95833,0.87591,0.79202,0.85925,0.65102,0.8392,0.67134,1.22406,0.000333533,0.000333533,0.000333533
204,1525.03,0.43264,0.34995,0.95488,0.85522,0.80566,0.86643,0.65409,0.86508,0.6823,1.23007,0.000326932,0.000326932,0.000326932
205,1534.89,0.4431,0.35968,0.96013,0.91484,0.75086,0.85778,0.65386,0.85694,0.68345,1.23761,0.000320331,0.000320331,0.000320331
206,1541.21,0.42809,0.35204,0.95099,0.87235,0.78471,0.85315,0.65005,0.87006,0.69442,1.24746,0.000313729,0.000313729,0.000313729
207,1548.56,0.43391,0.34626,0.94834,0.88026,0.78385,0.85524,0.64643,0.86703,0.69919,1.23928,0.000307128,0.000307128,0.000307128
208,1557.09,0.42627,0.35234,0.9422,0.85068,0.83136,0.85782,0.65057,0.87359,0.69727,1.2514,0.000300527,0.000300527,0.000300527
209,1563.17,0.4259,0.35031,0.95482,0.8748,0.82192,0.86813,0.65369,0.86433,0.69033,1.25691,0.000293925,0.000293925,0.000293925
210,1572.5,0.41597,0.3424,0.93103,0.89136,0.80556,0.86862,0.65881,0.86118,0.69104,1.2441,0.000287324,0.000287324,0.000287324
211,1579.01,0.42515,0.34442,0.94572,0.85682,0.81459,0.86103,0.64447,0.88286,0.70751,1.24354,0.000280723,0.000280723,0.000280723
212,1586.17,0.43935,0.34629,0.94285,0.87966,0.80727,0.86298,0.64877,0.86502,0.71899,1.22747,0.000274121,0.000274121,0.000274121
213,1594.93,0.41158,0.3399,0.95002,0.85683,0.80988,0.85959,0.64816,0.85699,0.72078,1.22137,0.00026752,0.00026752,0.00026752
214,1601.23,0.40795,0.33378,0.92433,0.84741,0.81734,0.86449,0.65634,0.84942,0.70766,1.22521,0.000260919,0.000260919,0.000260919
215,1611.11,0.41081,0.33482,0.94628,0.88916,0.80184,0.86007,0.64882,0.85402,0.68646,1.22819,0.000254318,0.000254318,0.000254318
216,1617.77,0.42767,0.33728,0.94717,0.88905,0.79797,0.85625,0.64792,0.85165,0.70396,1.2254,0.000247716,0.000247716,0.000247716
217,1625.29,0.39479,0.33311,0.9249,0.87927,0.78436,0.85371,0.64776,0.85355,0.69628,1.22349,0.000241115,0.000241115,0.000241115
218,1633.37,0.41871,0.35877,0.94695,0.84516,0.82107,0.85474,0.64763,0.84848,0.69364,1.22878,0.000234514,0.000234514,0.000234514
219,1639.43,0.41861,0.33551,0.92382,0.88793,0.77375,0.85316,0.64649,0.86336,0.69661,1.2333,0.000227912,0.000227912,0.000227912
220,1649.2,0.40389,0.32591,0.94309,0.88499,0.77834,0.84896,0.64611,0.8633,0.69287,1.22757,0.000221311,0.000221311,0.000221311
221,1655.69,0.41451,0.33698,0.94264,0.89532,0.77419,0.85336,0.65197,0.85812,0.67947,1.2326,0.00021471,0.00021471,0.00021471
222,1663.17,0.41881,0.33095,0.94016,0.90398,0.75995,0.84902,0.65167,0.86249,0.69022,1.23218,0.000208108,0.000208108,0.000208108
223,1671.82,0.37742,0.32211,0.93157,0.90016,0.76011,0.84979,0.6525,0.85558,0.69265,1.23144,0.000201507,0.000201507,0.000201507
224,1678.17,0.40762,0.34337,0.93466,0.90662,0.75014,0.84922,0.65156,0.84992,0.68973,1.24306,0.000194906,0.000194906,0.000194906
225,1687.54,0.40369,0.33267,0.93483,0.92397,0.74821,0.85435,0.65419,0.86205,0.68771,1.24883,0.000188304,0.000188304,0.000188304
226,1694.32,0.40494,0.32852,0.93649,0.86875,0.79835,0.8518,0.65624,0.85913,0.69043,1.24245,0.000181703,0.000181703,0.000181703
227,1701.57,0.39743,0.33465,0.93411,0.86362,0.79232,0.84998,0.65701,0.86331,0.6909,1.24327,0.000175102,0.000175102,0.000175102
228,1710.44,0.39177,0.33632,0.95049,0.88816,0.77168,0.85065,0.66115,0.85502,0.68589,1.23248,0.0001685,0.0001685,0.0001685
229,1716.55,0.40911,0.33626,0.93322,0.88102,0.78945,0.85912,0.65983,0.84781,0.67597,1.22412,0.000161899,0.000161899,0.000161899
230,1724.94,0.40968,0.33694,0.92922,0.91901,0.77129,0.8586,0.65726,0.85485,0.67947,1.22257,0.000155298,0.000155298,0.000155298
231,1732.41,0.39891,0.32673,0.92738,0.87431,0.80606,0.85983,0.65557,0.85674,0.67574,1.2226,0.000148696,0.000148696,0.000148696
232,1739.37,0.39098,0.31988,0.936,0.87935,0.81526,0.86442,0.65317,0.86225,0.67874,1.22955,0.000142095,0.000142095,0.000142095
233,1748.79,0.39418,0.32761,0.94169,0.88553,0.81711,0.87103,0.65834,0.86206,0.68337,1.23324,0.000135494,0.000135494,0.000135494
234,1754.99,0.41265,0.32931,0.94589,0.86881,0.81512,0.87659,0.66567,0.85807,0.68245,1.23531,0.000128892,0.000128892,0.000128892
235,1763.6,0.37038,0.30545,0.92513,0.86063,0.82386,0.87486,0.65724,0.8682,0.69486,1.24004,0.000122291,0.000122291,0.000122291
236,1770.83,0.37861,0.31072,0.93418,0.84934,0.81636,0.86532,0.66383,0.8568,0.68679,1.23587,0.00011569,0.00011569,0.00011569
237,1777.19,0.38845,0.31035,0.92106,0.87543,0.79273,0.86033,0.66367,0.84797,0.6881,1.23433,0.000109088,0.000109088,0.000109088
238,1786.99,0.38747,0.31646,0.93005,0.8857,0.78328,0.86186,0.66885,0.84939,0.67576,1.23802,0.000102487,0.000102487,0.000102487
239,1793.15,0.41671,0.34098,0.94285,0.87696,0.80161,0.87021,0.66557,0.8521,0.67028,1.23962,9.58858e-05,9.58858e-05,9.58858e-05
240,1801.12,0.38192,0.31098,0.92523,0.87594,0.80918,0.87123,0.6652,0.84908,0.66378,1.23784,8.92845e-05,8.92845e-05,8.92845e-05
241,1811.14,0.39458,0.33597,0.92168,0.86561,0.80393,0.86615,0.66321,0.83567,0.64449,1.22163,8.26832e-05,8.26832e-05,8.26832e-05
242,1818.49,0.37788,0.29452,0.89665,0.90579,0.78851,0.8717,0.66255,0.84002,0.64328,1.21922,7.60819e-05,7.60819e-05,7.60819e-05
243,1826.88,0.37412,0.30002,0.90353,0.91038,0.78083,0.86495,0.65854,0.84858,0.64654,1.22358,6.94806e-05,6.94806e-05,6.94806e-05
244,1833,0.37894,0.28675,0.88595,0.90169,0.77124,0.85579,0.655,0.85626,0.65174,1.22988,6.28792e-05,6.28792e-05,6.28792e-05
245,1842.72,0.34092,0.27059,0.87601,0.86993,0.8057,0.85576,0.65448,0.85122,0.64991,1.22685,5.62779e-05,5.62779e-05,5.62779e-05
246,1848.91,0.34326,0.28174,0.8824,0.90431,0.76963,0.85674,0.65539,0.84579,0.6492,1.2195,4.96766e-05,4.96766e-05,4.96766e-05
247,1856.06,0.34777,0.2663,0.87292,0.90633,0.77559,0.85879,0.65172,0.84772,0.65351,1.22062,4.30753e-05,4.30753e-05,4.30753e-05
248,1864.53,0.35861,0.28207,0.8872,0.87512,0.789,0.86508,0.65851,0.84851,0.657,1.21977,3.6474e-05,3.6474e-05,3.6474e-05
249,1870.38,0.32645,0.25984,0.8663,0.90126,0.76989,0.85947,0.65281,0.8419,0.65068,1.21271,2.98726e-05,2.98726e-05,2.98726e-05
250,1878.96,0.3419,0.27209,0.88492,0.90439,0.77189,0.86077,0.65756,0.83931,0.64793,1.21236,2.32713e-05,2.32713e-05,2.32713e-05
